time_stamp,capacity
2018-03-01 00:00:00,11.6
2018-03-01 00:15:00,20.4
2018-03-01 00:30:00,24.6
2018-03-01 00:45:00,16.6
2018-03-01 01:00:00,25.599998
2018-03-01 01:15:00,8.9
2018-03-01 01:30:00,4.5
2018-03-01 01:45:00,2.9
2018-03-01 02:00:00,5.6
2018-03-01 02:15:00,6.9
2018-03-01 02:30:00,0.0
2018-03-01 02:45:00,10.5
2018-03-01 03:00:00,72.4
2018-03-01 03:15:00,146.6
2018-03-01 03:30:00,70.4
2018-03-01 03:45:00,56.5
2018-03-01 04:00:00,79.5
2018-03-01 04:15:00,46.7
2018-03-01 04:30:00,71.7
2018-03-01 04:45:00,110.100006
2018-03-01 05:00:00,97.8
2018-03-01 05:15:00,82.8
2018-03-01 05:30:00,93.6
2018-03-01 05:45:00,87.3
2018-03-01 06:01:00,41.2
2018-03-01 06:15:00,9.2
2018-03-01 06:30:00,6.0
2018-03-01 06:45:00,7.1
2018-03-01 07:00:00,19.2
2018-03-01 07:15:00,46.199997
2018-03-01 07:30:00,66.2
2018-03-01 07:45:00,80.3
2018-03-01 08:00:00,95.0
2018-03-01 08:15:00,104.100006
2018-03-01 08:30:00,117.9
2018-03-01 08:45:00,97.0
2018-03-01 09:00:00,133.6
2018-03-01 09:15:00,137.9
2018-03-01 09:30:00,143.0
2018-03-01 09:45:00,117.9
2018-03-01 10:00:00,119.4
2018-03-01 10:15:00,88.899994
2018-03-01 10:30:00,102.2
2018-03-01 10:45:00,114.2
2018-03-01 11:00:00,146.5
2018-03-01 11:15:00,115.100006
2018-03-01 11:30:00,106.0
2018-03-01 11:45:00,120.6
2018-03-01 12:00:00,106.600006
2018-03-01 12:15:00,74.5
2018-03-01 12:30:00,80.5
2018-03-01 12:45:00,98.0
2018-03-01 13:00:00,96.5
2018-03-01 13:15:00,83.4
2018-03-01 13:30:00,72.7
2018-03-01 13:45:00,103.6
2018-03-01 14:00:00,92.5
2018-03-01 14:15:00,88.5
2018-03-01 14:30:00,92.9
2018-03-01 14:45:00,107.3
2018-03-01 15:00:00,92.3
2018-03-01 15:15:00,89.0
2018-03-01 15:30:00,93.2
2018-03-01 15:45:00,80.9
2018-03-01 16:00:00,88.0
2018-03-01 16:15:00,80.100006
2018-03-01 16:30:00,83.8
2018-03-01 16:45:00,74.4
2018-03-01 17:00:00,74.3
2018-03-01 17:15:00,66.9
2018-03-01 17:30:00,52.4
2018-03-01 17:45:00,40.1
2018-03-01 18:00:00,26.1
2018-03-01 18:15:00,24.5
2018-03-01 18:30:00,18.8
2018-03-01 18:45:00,17.900002
2018-03-01 19:00:00,30.4
2018-03-01 19:15:00,24.0
2018-03-01 19:30:00,38.0
2018-03-01 19:45:00,42.9
2018-03-01 20:00:00,34.1
2018-03-01 20:15:00,29.1
2018-03-01 20:30:00,30.0
2018-03-01 20:45:00,35.199997
2018-03-01 21:00:00,35.5
2018-03-01 21:15:00,47.300003
2018-03-01 21:30:00,38.5
2018-03-01 21:45:00,46.6
2018-03-01 22:00:00,37.1
2018-03-01 22:15:00,38.6
2018-03-01 22:30:00,35.8
2018-03-01 22:45:00,39.8
2018-03-01 23:00:00,36.7
2018-03-01 23:15:00,33.7
2018-03-01 23:30:00,32.0
2018-03-01 23:45:00,27.8
2018-03-02 00:00:00,19.1
2018-03-02 00:15:00,12.3
2018-03-02 00:30:00,11.4
2018-03-02 00:45:00,11.6
2018-03-02 01:00:00,12.9
2018-03-02 01:15:00,13.700001
2018-03-02 01:30:00,19.3
2018-03-02 01:45:00,25.6
2018-03-02 02:00:00,31.4
2018-03-02 02:15:00,34.300003
2018-03-02 02:30:00,36.800003
2018-03-02 02:45:00,36.9
2018-03-02 03:00:00,31.3
2018-03-02 03:15:00,24.4
2018-03-02 03:30:00,18.8
2018-03-02 03:45:00,17.3
2018-03-02 04:00:00,19.1
2018-03-02 04:15:00,23.1
2018-03-02 04:30:00,26.3
2018-03-02 04:45:00,25.400002
2018-03-02 05:00:00,23.400002
2018-03-02 05:15:00,18.4
2018-03-02 05:30:00,15.2
2018-03-02 05:45:00,11.299999
2018-03-02 06:00:00,8.0
2018-03-02 06:15:00,5.1
2018-03-02 06:30:00,4.8
2018-03-02 06:45:00,3.9
2018-03-02 07:00:00,5.7
