time_stamp,capacity
2018-05-01 00:00:00,214.37
2018-05-01 00:15:00,212.48999
2018-05-01 00:30:00,201.71999
2018-05-01 00:45:00,200.22998
2018-05-01 01:00:00,197.20999
2018-05-01 01:15:00,202.17
2018-05-01 01:30:00,194.45
2018-05-01 01:45:00,200.18
2018-05-01 02:00:00,210.1
2018-05-01 02:15:00,217.48999
2018-05-01 02:30:00,221.41
2018-05-01 02:45:00,219.88
2018-05-01 03:00:00,221.48001
2018-05-01 03:15:00,220.95
2018-05-01 03:30:00,222.21
2018-05-01 03:45:00,224.73999
2018-05-01 04:00:00,224.54999
2018-05-01 04:15:00,223.68999
2018-05-01 04:30:00,220.44998
2018-05-01 04:45:00,223.15
2018-05-01 05:00:00,224.42001
2018-05-01 05:15:00,225.52998
2018-05-01 05:30:00,224.25
2018-05-01 05:45:00,224.15
2018-05-01 06:00:00,222.96
2018-05-01 06:15:00,221.17
2018-05-01 06:30:00,219.6
2018-05-01 06:45:00,219.23001
2018-05-01 07:00:00,220.23999
2018-05-01 07:15:00,220.51
2018-05-01 07:30:00,220.16998
2018-05-01 07:45:00,219.28
2018-05-01 08:00:00,220.42001
2018-05-01 08:15:00,220.7
2018-05-01 08:30:00,220.81
2018-05-01 08:45:00,220.79001
2018-05-01 09:00:00,219.88
2018-05-01 09:15:00,219.23
2018-05-01 09:30:00,219.39
2018-05-01 09:45:00,219.45999
2018-05-01 10:00:00,219.2
2018-05-01 10:15:00,219.00998
2018-05-01 10:30:00,219.15997
2018-05-01 10:45:00,219.16998
2018-05-01 11:00:00,219.45999
2018-05-01 11:15:00,219.62
2018-05-01 11:30:00,219.13
2018-05-01 11:45:00,221.20999
2018-05-01 12:00:00,219.95
2018-05-01 12:15:00,220.39
2018-05-01 12:30:00,217.78
2018-05-01 12:45:00,215.65997
2018-05-01 13:00:00,211.98999
2018-05-01 13:15:00,214.31998
2018-05-01 13:30:00,216.83997
2018-05-01 13:45:00,218.86
2018-05-01 14:00:00,218.20999
2018-05-01 14:15:00,220.57
2018-05-01 14:30:00,221.18999
2018-05-01 14:45:00,223.04001
2018-05-01 15:00:00,221.54
2018-05-01 15:15:00,221.63998
2018-05-01 15:30:00,220.43
2018-05-01 15:45:00,216.92
2018-05-01 16:00:00,210.09
2018-05-01 16:15:00,215.84
2018-05-01 16:30:00,213.00998
2018-05-01 16:45:00,218.23999
2018-05-01 17:00:00,206.82
2018-05-01 17:15:00,213.26001
2018-05-01 17:30:00,211.66
2018-05-01 17:45:00,195.16
2018-05-01 18:00:00,192.93
2018-05-01 18:15:00,190.44
2018-05-01 18:30:00,176.05
2018-05-01 18:45:00,174.26
2018-05-01 19:00:00,178.00998
2018-05-01 19:15:00,164.78
2018-05-01 19:30:00,165.77998
2018-05-01 19:45:00,152.69
2018-05-01 20:00:00,132.58
2018-05-01 20:15:00,103.09
2018-05-01 20:30:00,71.33
2018-05-01 20:45:00,67.9
2018-05-01 21:00:00,55.989998
2018-05-01 21:15:00,53.83
2018-05-01 21:30:00,80.020004
2018-05-01 21:45:00,95.69
2018-05-01 22:00:00,90.12
2018-05-01 22:15:00,101.729996
2018-05-01 22:30:00,111.5
2018-05-01 22:45:00,108.130005
2018-05-01 23:00:00,91.81
2018-05-01 23:15:00,64.11
2018-05-01 23:30:00,49.29
2018-05-01 23:45:00,32.06
2018-05-02 00:00:00,44.97
2018-05-02 00:15:00,53.1
2018-05-02 00:30:00,48.86
2018-05-02 00:45:00,42.39
2018-05-02 01:00:00,42.25
2018-05-02 01:15:00,62.9
2018-05-02 01:30:00,92.38
2018-05-02 01:45:00,104.43
2018-05-02 02:00:00,128.26001
2018-05-02 02:15:00,147.19
2018-05-02 02:30:00,155.16
2018-05-02 02:45:00,183.03
2018-05-02 03:00:00,188.56
2018-05-02 03:15:00,200.51999
2018-05-02 03:30:00,210.98999
2018-05-02 03:45:00,211.26001
2018-05-02 04:00:00,219.64
2018-05-02 04:15:00,219.20999
2018-05-02 04:30:00,220.6
2018-05-02 04:45:00,221.22
2018-05-02 05:02:00,220.95999
2018-05-02 05:15:00,220.94998
2018-05-02 05:30:00,221.08
2018-05-02 05:45:00,222.78998
2018-05-02 06:00:00,221.81
2018-05-02 06:15:00,223.11
2018-05-02 06:30:00,222.45999
2018-05-02 06:45:00,223.20999
2018-05-02 07:00:00,221.45001
2018-05-02 07:15:00,221.82999
2018-05-02 07:30:00,220.15
2018-05-02 07:45:00,219.93
2018-05-02 08:00:00,218.01999
2018-05-02 08:15:00,215.17
2018-05-02 08:30:00,212.98999
2018-05-02 08:45:00,207.75998
2018-05-02 09:00:00,206.5
2018-05-02 09:15:00,211.09999
2018-05-02 09:30:00,209.55
2018-05-02 09:45:00,215.65
2018-05-02 10:00:00,218.3
2018-05-02 10:15:00,215.71999
2018-05-02 10:30:00,217.45001
2018-05-02 10:45:00,215.24
2018-05-02 11:00:00,217.14
2018-05-02 11:15:00,215.6
2018-05-02 11:30:00,217.02998
2018-05-02 11:45:00,217.15
2018-05-02 12:00:00,218.09
2018-05-02 12:15:00,218.07999
2018-05-02 12:30:00,212.09998
2018-05-02 12:45:00,208.14
2018-05-02 13:00:00,207.9
2018-05-02 13:15:00,215.12999
2018-05-02 13:30:00,216.01001
2018-05-02 13:45:00,216.12
2018-05-02 14:00:00,213.91
2018-05-02 14:15:00,211.65
2018-05-02 14:30:00,213.97
2018-05-02 14:45:00,213.63
2018-05-02 15:00:00,212.87
2018-05-02 15:15:00,216.26001
2018-05-02 15:30:00,211.26997
2018-05-02 15:45:00,209.55
2018-05-02 16:00:00,210.9
2018-05-02 16:15:00,205.86
2018-05-02 16:30:00,204.18
2018-05-02 16:45:00,212.62
2018-05-02 17:00:00,205.16
2018-05-02 17:15:00,202.26999
2018-05-02 17:30:00,184.70001
2018-05-02 17:45:00,168.04999
2018-05-02 18:00:00,169.91
2018-05-02 18:15:00,169.45999
2018-05-02 18:30:00,147.45
2018-05-02 18:45:00,135.14
2018-05-02 19:00:00,147.75998
2018-05-02 19:15:00,139.68001
2018-05-02 19:30:00,131.48
2018-05-02 19:45:00,110.05
2018-05-02 20:00:00,93.92
2018-05-02 20:15:00,103.09
2018-05-02 20:30:00,97.25
2018-05-02 20:45:00,121.68
2018-05-02 21:00:00,119.11
2018-05-02 21:15:00,113.53
2018-05-02 21:30:00,129.65
2018-05-02 21:45:00,206.95001
2018-05-02 22:00:00,203.37
2018-05-02 22:15:00,129.44
2018-05-02 22:30:00,92.83
2018-05-02 22:45:00,128.56
2018-05-02 23:00:00,194.96
2018-05-02 23:15:00,163.15
2018-05-02 23:30:00,140.09
2018-05-02 23:45:00,67.13
2018-05-03 00:00:00,85.490005
2018-05-03 00:15:00,51.21
2018-05-03 00:30:00,40.64
2018-05-03 00:45:00,52.98
2018-05-03 01:00:00,46.730003
2018-05-03 01:15:00,68.73
2018-05-03 01:30:00,49.58
2018-05-03 01:45:00,62.59
2018-05-03 02:00:00,131.33
2018-05-03 02:15:00,114.64
2018-05-03 02:30:00,133.09
2018-05-03 02:45:00,128.45999
2018-05-03 03:00:00,85.56
2018-05-03 03:15:00,48.73
2018-05-03 03:30:00,24.74
2018-05-03 03:45:00,7.63
2018-05-03 04:00:00,2.22
2018-05-03 04:15:00,22.01
2018-05-03 04:30:00,51.379997
2018-05-03 04:45:00,55.309998
2018-05-03 05:00:00,38.93
2018-05-03 05:15:00,24.130001
2018-05-03 05:30:00,17.45
2018-05-03 05:45:00,24.65
2018-05-03 06:00:00,72.22
2018-05-03 06:15:00,16.25
2018-05-03 06:30:00,0.0
