time_stamp,capacity
2018-09-01 00:00:00,35.67
2018-09-01 00:15:00,32.7
2018-09-01 00:30:00,24.81
2018-09-01 00:45:00,26.98
2018-09-01 01:00:00,28.7
2018-09-01 01:15:00,28.76
2018-09-01 01:30:00,29.95
2018-09-01 01:45:00,35.8
2018-09-01 02:00:00,39.55
2018-09-01 02:15:00,48.9
2018-09-01 02:30:00,52.18
2018-09-01 02:45:00,61.269997
2018-09-01 03:00:00,73.51
2018-09-01 03:15:00,73.11
2018-09-01 03:30:00,87.92
2018-09-01 03:45:00,92.990005
2018-09-01 04:00:00,96.94
2018-09-01 04:15:00,90.82
2018-09-01 04:30:00,93.78
2018-09-01 04:45:00,101.619995
2018-09-01 05:00:00,106.479996
2018-09-01 05:15:00,110.490005
2018-09-01 05:30:00,113.19
2018-09-01 05:45:00,103.92
2018-09-01 06:00:00,114.18
2018-09-01 06:15:00,104.31
2018-09-01 06:30:00,99.759995
2018-09-01 06:45:00,104.24
2018-09-01 07:00:00,86.22
2018-09-01 07:15:00,72.990005
2018-09-01 07:30:00,67.92
2018-09-01 07:45:00,62.059998
2018-09-01 08:00:00,59.559998
2018-09-01 08:15:00,62.59
2018-09-01 08:30:00,72.46
2018-09-01 08:45:00,83.78
2018-09-01 09:00:00,100.89
2018-09-01 09:15:00,110.1
2018-09-01 09:30:00,107.21
2018-09-01 09:45:00,102.86
2018-09-01 10:00:00,107.14
2018-09-01 10:15:00,112.87
2018-09-01 10:30:00,107.99
2018-09-01 10:45:00,112.469986
2018-09-01 11:00:00,117.06999
2018-09-01 11:15:00,104.71
2018-09-01 11:30:00,94.89
2018-09-01 11:45:00,98.85
2018-09-01 12:00:00,101.8
2018-09-01 12:15:00,93.78
2018-09-01 12:30:00,93.06
2018-09-01 12:45:00,85.69
2018-09-01 13:00:00,88.71
2018-09-01 13:15:00,85.43
2018-09-01 13:30:00,78.18
2018-09-01 13:45:00,79.17
2018-09-01 14:00:00,82.06
2018-09-01 14:15:00,88.45
2018-09-01 14:30:00,89.51
2018-09-01 14:45:00,92.92
2018-09-01 15:00:00,86.8
2018-09-01 15:15:00,78.18
2018-09-01 15:30:00,71.67
2018-09-01 15:45:00,62.26
2018-09-01 16:00:00,53.309998
2018-09-01 16:15:00,50.87
2018-09-01 16:30:00,40.47
2018-09-01 16:45:00,33.49
2018-09-01 17:00:00,31.92
2018-09-01 17:15:00,32.11
2018-09-01 17:30:00,24.81
2018-09-01 17:45:00,31.0
2018-09-01 18:00:00,28.82
2018-09-01 18:15:00,27.970001
2018-09-01 18:30:00,27.04
2018-09-01 18:45:00,26.779999
2018-09-01 19:00:00,27.64
2018-09-01 19:15:00,23.1
2018-09-01 19:30:00,21.19
2018-09-01 19:45:00,20.599998
2018-09-01 20:00:00,24.02
2018-09-01 20:15:00,26.0
2018-09-01 20:30:00,26.380001
2018-09-01 20:45:00,23.89
2018-09-01 21:00:00,19.81
2018-09-01 21:15:00,28.95
2018-09-01 21:30:00,34.29
2018-09-01 21:45:00,34.62
2018-09-01 22:00:00,39.879997
2018-09-01 22:15:00,41.989998
2018-09-01 22:30:00,51.4
2018-09-01 22:45:00,55.34
2018-09-01 23:00:00,62.12
2018-09-01 23:15:00,58.37
2018-09-01 23:30:00,57.0
2018-09-01 23:45:00,57.65
2018-09-02 00:00:00,42.84
2018-09-02 00:15:00,22.45
2018-09-02 00:30:00,33.239998
2018-09-02 00:45:00,33.04
2018-09-02 01:00:00,21.919998
2018-09-02 01:15:00,18.369999
2018-09-02 01:30:00,22.11
2018-09-02 01:45:00,21.720001
2018-09-02 02:00:00,36.989998
2018-09-02 02:15:00,27.77
2018-09-02 02:30:00,34.16
2018-09-02 02:45:00,41.39
2018-09-02 03:00:00,42.77
2018-09-02 03:15:00,54.690002
2018-09-02 03:30:00,58.17
2018-09-02 03:45:00,46.07
2018-09-02 04:00:00,55.42
2018-09-02 04:15:00,54.43
2018-09-02 04:30:00,61.199997
2018-09-02 04:45:00,76.21001
2018-09-02 05:00:00,79.63
2018-09-02 05:15:00,81.47
2018-09-02 05:30:00,96.869995
2018-09-02 05:45:00,101.75
2018-09-02 06:00:00,112.869995
2018-09-02 06:15:00,121.289986
2018-09-02 06:30:00,119.97
2018-09-02 06:45:00,131.54999
2018-09-02 07:00:00,152.01999
2018-09-02 07:15:00,147.27998
2018-09-02 07:30:00,153.67
2018-09-02 07:45:00,154.33
2018-09-02 08:00:00,156.43
2018-09-02 08:15:00,142.34999
2018-09-02 08:30:00,103.649994
2018-09-02 08:45:00,106.09
2018-09-02 09:00:00,108.79
2018-09-02 09:15:00,87.729996
2018-09-02 09:30:00,73.12
2018-09-02 09:45:00,62.98
2018-09-02 10:00:00,56.86
2018-09-02 10:15:00,46.0
2018-09-02 10:30:00,35.86
2018-09-02 10:45:00,25.14
2018-09-02 11:00:00,29.42
2018-09-02 11:15:00,41.07
2018-09-02 11:30:00,27.31
2018-09-02 11:45:00,28.23
2018-09-02 12:00:00,28.029999
2018-09-02 12:15:00,24.15
2018-09-02 12:30:00,21.98
2018-09-02 12:45:00,22.11
2018-09-02 13:00:00,19.02
2018-09-02 13:15:00,12.110001
2018-09-02 13:30:00,8.23
2018-09-02 13:45:00,1.97
2018-09-02 14:00:00,0.53
2018-09-02 14:15:00,0.0
2018-09-02 14:30:00,0.2
2018-09-02 14:45:00,0.26
2018-09-02 15:00:00,0.0
2018-09-02 15:15:00,0.0
2018-09-02 15:30:00,1.1199999
2018-09-02 15:45:00,6.45
2018-09-02 16:00:00,6.91
2018-09-02 16:15:00,9.01
2018-09-02 16:30:00,9.01
2018-09-02 16:45:00,3.16
2018-09-02 17:00:00,3.75
2018-09-02 17:15:00,3.62
2018-09-02 17:30:00,2.3700001
2018-09-02 17:45:00,3.0300002
2018-09-02 18:00:00,7.5600004
2018-09-02 18:15:00,6.05
2018-09-02 18:30:00,1.84
2018-09-02 18:45:00,0.0
2018-09-02 19:00:00,0.2
2018-09-02 19:15:00,4.67
2018-09-02 19:30:00,5.99
