time,capacity
2016-08-01 12:00:00,1.2351
2016-08-01 12:05:00,1.2259
2016-08-01 12:10:00,1.2052
2016-08-01 12:15:00,1.1799
2016-08-01 12:20:00,1.1592001
2016-08-01 12:25:00,1.1454
2016-08-01 12:30:00,1.1247
2016-08-01 12:35:00,1.1017
2016-08-01 12:40:00,1.0902001
2016-08-01 12:45:00,1.081
2016-08-01 12:50:00,1.0557
2016-08-01 12:55:00,1.0304
2016-08-01 13:00:00,1.0097001
2016-08-01 13:05:00,0.98440003
2016-08-01 13:10:00,0.95909995
2016-08-01 13:15:00,0.92689997
2016-08-01 13:20:00,0.8878
2016-08-01 13:25:00,0.8349
2016-08-01 13:30:00,0.7636
2016-08-01 13:35:00,0.6854
2016-08-01 13:40:00,0.6164
2016-08-01 13:45:00,0.5497
2016-08-01 13:50:00,0.4761
2016-08-01 13:55:00,0.4071
2016-08-01 14:00:00,0.345
2016-08-01 14:05:00,0.2875
2016-08-01 14:10:00,0.2346
2016-08-01 14:15:00,0.1886
2016-08-01 14:20:00,0.1587
2016-08-01 14:25:00,0.1357
2016-08-01 14:30:00,0.1173
2016-08-01 14:35:00,0.1012
2016-08-01 14:40:00,0.092
2016-08-01 14:45:00,0.0874
2016-08-01 14:50:00,0.0805
2016-08-01 14:55:00,0.07129999
2016-08-01 15:00:00,0.0644
2016-08-01 15:05:00,0.059800003
2016-08-01 15:10:00,0.0552
2016-08-01 15:15:00,0.048299998
2016-08-01 15:20:00,0.036800005
2016-08-01 15:25:00,0.029900001
2016-08-01 15:30:00,0.0253
2016-08-01 15:35:00,0.018400002
2016-08-01 15:40:00,0.009200001
2016-08-01 15:45:00,0.0
2016-08-01 15:50:00,0.0
2016-08-01 15:55:00,0.0
2016-08-01 16:00:00,0.0
2016-08-01 16:05:00,0.0
2016-08-01 16:10:00,0.0
2016-08-01 16:15:00,0.0
2016-08-01 16:20:00,0.0
2016-08-01 16:25:00,0.0
2016-08-01 16:30:00,0.0
2016-08-01 16:35:00,0.0
2016-08-01 16:40:00,0.0
2016-08-01 16:45:00,0.0
