time_stamp,power
7/1/2018 5:00,0
7/1/2018 6:00,0
7/1/2018 7:00,0
7/1/2018 8:00,50
7/1/2018 9:00,55
7/1/2018 10:00,47
7/1/2018 11:00,56
7/1/2018 12:00,77
7/1/2018 13:00,79
7/1/2018 14:00,57
7/1/2018 15:00,44
7/1/2018 16:00,58
7/1/2018 17:00,65
7/1/2018 18:00,80
7/1/2018 19:00,89
7/1/2018 20:00,88
7/1/2018 21:00,81
7/1/2018 22:00,66
7/1/2018 23:00,97
7/2/2018 0:00,91
7/2/2018 1:00,89
7/2/2018 2:00,86
7/2/2018 3:00,71
7/2/2018 4:00,78
7/2/2018 5:00,82
7/2/2018 6:00,71
7/2/2018 7:00,58
7/2/2018 8:00,90
7/2/2018 9:00,102
7/2/2018 10:00,102
7/2/2018 11:00,97
7/2/2018 12:00,87
7/2/2018 13:00,82
7/2/2018 14:00,82
7/2/2018 15:00,89
7/2/2018 16:00,98
7/2/2018 17:00,100
7/2/2018 18:00,100
7/2/2018 19:00,99
7/2/2018 20:00,100
7/2/2018 21:00,99
7/2/2018 22:00,86
7/2/2018 23:00,90
7/3/2018 0:00,63
7/3/2018 1:00,35
7/3/2018 2:00,16
7/3/2018 3:00,13
7/3/2018 4:00,11
7/3/2018 5:00,4
7/3/2018 6:00,0
7/3/2018 7:00,0
7/3/2018 8:00,0
7/3/2018 9:00,0
7/3/2018 10:00,0
7/3/2018 11:00,2
7/3/2018 12:00,22
7/3/2018 13:00,45
7/3/2018 14:00,32
7/3/2018 15:00,36
7/3/2018 16:00,43
7/3/2018 17:00,60
7/3/2018 18:00,52
7/3/2018 19:00,66
7/3/2018 20:00,51
7/3/2018 21:00,33
7/3/2018 22:00,13
7/3/2018 23:00,4
7/4/2018 0:00,1
7/4/2018 1:00,0
7/4/2018 2:00,2
7/4/2018 3:00,2
7/4/2018 4:00,11
7/4/2018 5:00,11
7/4/2018 6:00,21
7/4/2018 7:00,32
7/4/2018 8:00,26
7/4/2018 9:00,17
7/4/2018 10:00,14
7/4/2018 11:00,20
7/4/2018 12:00,24
7/4/2018 13:00,43
7/4/2018 14:00,42
7/4/2018 15:00,32
7/4/2018 16:00,29
7/4/2018 17:00,34
7/4/2018 18:00,22
7/4/2018 19:00,10
7/4/2018 20:00,12
7/4/2018 21:00,14
7/4/2018 22:00,18
7/4/2018 23:00,30
7/5/2018 0:00,28
7/5/2018 1:00,18
7/5/2018 2:00,9
7/5/2018 3:00,5
7/5/2018 4:00,23
7/5/2018 5:00,55
7/5/2018 6:00,81
7/5/2018 7:00,92
7/5/2018 8:00,82
7/5/2018 9:00,85
7/5/2018 10:00,94
7/5/2018 11:00,94
7/5/2018 12:00,94
7/5/2018 13:00,98
7/5/2018 14:00,81
7/5/2018 15:00,57
7/5/2018 16:00,7
7/5/2018 17:00,16
7/5/2018 18:00,2
7/5/2018 19:00,1
7/5/2018 20:00,1
7/5/2018 21:00,2
7/5/2018 22:00,2
7/5/2018 23:00,3
7/6/2018 0:00,8
7/6/2018 1:00,0
7/6/2018 2:00,0
7/6/2018 3:00,0
7/6/2018 4:00,0
7/6/2018 5:00,2
7/6/2018 6:00,3
7/6/2018 7:00,1
7/6/2018 8:00,0
7/6/2018 9:00,13
7/6/2018 10:00,83
7/6/2018 11:00,97
7/6/2018 12:00,99
7/6/2018 13:00,96
7/6/2018 14:00,77
7/6/2018 15:00,46
7/6/2018 16:00,36
7/6/2018 17:00,33
7/6/2018 18:00,35
7/6/2018 19:00,20
7/6/2018 20:00,8
7/6/2018 21:00,10
7/6/2018 22:00,25
7/6/2018 23:00,21
7/7/2018 0:00,14
7/7/2018 1:00,7
7/7/2018 2:00,8
7/7/2018 3:00,16
7/7/2018 4:00,1
