# Station: FINO2
# Parameter: windspeed_cup_82m_180deg
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Deviation	Quality
# Data:
2020-10-03 00:05:00	12.58	10.49	15.41	1.02	3
2020-10-03 00:15:00	12.66	9.32	14.9	1.04	3
2020-10-03 00:25:00	12.53	9.9	15.64	1.05	3
2020-10-03 00:35:00	13.1	9.77	15.4	.92	3
2020-10-03 00:45:00	12.75	6.77	15.99	1.71	3
2020-10-03 00:55:00	13.01	9.12	15.53	1.02	3
2020-10-03 01:05:00	13.05	10.53	15.93	1.16	3
2020-10-03 01:15:00	14.19	10.82	16.7	1.07	3
2020-10-03 01:25:00	13.74	10.11	16.71	1.16	3
2020-10-03 01:35:00	14.11	11.09	17.36	.95	3
2020-10-03 01:45:00	13.56	10.97	15.95	1.02	3
2020-10-03 01:55:00	13.62	11.07	16.6	1.04	3
2020-10-03 02:05:00	13.7	11.08	16.63	1.19	3
2020-10-03 02:15:00	13.69	11.16	16.46	1.15	3
2020-10-03 02:25:00	12.79	10.02	16.61	1.26	3
2020-10-03 02:35:00	14	11.29	16.31	1	3
2020-10-03 02:45:00	13.91	11.45	16.11	.84	3
2020-10-03 02:55:00	12.69	8.42	15.55	1.28	3
2020-10-03 03:05:00	13.97	8.85	17.21	1.5	3
2020-10-03 03:15:00	14.08	11.17	17.07	1.29	3
2020-10-03 03:25:00	14.56	10.9	17.3	1.15	3
2020-10-03 03:35:00	14.66	10.99	18.44	1.39	3
2020-10-03 03:45:00	15.49	11.86	18.94	1.43	3
2020-10-03 03:55:00	14.59	12.28	17.15	.9	3
2020-10-03 04:05:00	13.39	7.88	16.56	1.55	3
2020-10-03 04:15:00	14.74	10.72	18.01	1.66	3
2020-10-03 04:25:00	14.34	8.66	17.99	1.8	3
2020-10-03 04:35:00	14.01	9.3	18.06	2.09	3
2020-10-03 04:45:00	14.1	8.11	18.01	1.78	3
2020-10-03 04:55:00	15.21	8.27	18.31	1.93	3
2020-10-03 05:05:00	15.85	12.45	19.31	1.14	3
2020-10-03 05:15:00	16.32	13.15	19.6	1.18	3
2020-10-03 05:25:00	16.07	12.66	19.32	1.17	3
2020-10-03 05:35:00	14.32	10.08	17.78	1.62	3
2020-10-03 05:45:00	14.92	9.67	19.28	1.79	3
2020-10-03 05:55:00	12.79	8.43	17.61	1.83	3
2020-10-03 06:05:00	14.19	9.08	19.76	1.74	3
2020-10-03 06:15:00	12.91	6.79	18.59	2.02	3
2020-10-03 06:25:00	12.39	8.51	16.77	1.66	3
2020-10-03 06:35:00	12.98	8.6	18.08	1.84	3
2020-10-03 06:45:00	12.78	6.97	18.28	2.06	3
