# Station: FINO2
# Parameter: windspeed_cup_52m_180deg
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Deviation	Quality
# Data:
2020-10-03 00:05:00	12.13	9.63	14.99	1.01	3
2020-10-03 00:15:00	12.18	9.07	14.71	1.09	3
2020-10-03 00:25:00	12.18	9.15	15.35	1.04	3
2020-10-03 00:35:00	12.77	9.04	15.38	.9	3
2020-10-03 00:45:00	12.55	7.32	15.5	1.44	3
2020-10-03 00:55:00	12.69	9.83	15.08	.81	3
2020-10-03 01:05:00	12.58	10.04	15.51	1.16	3
2020-10-03 01:15:00	13.54	10.53	16	.98	3
2020-10-03 01:25:00	13.24	9.88	15.81	1.15	3
2020-10-03 01:35:00	13.53	11.02	16.48	1.01	3
2020-10-03 01:45:00	13.08	10.23	16.34	1.05	3
2020-10-03 01:55:00	13.17	10.52	16.21	1.11	3
2020-10-03 02:05:00	13.26	10.34	16.7	1.02	3
2020-10-03 02:15:00	13.29	10.88	16.15	1.21	3
2020-10-03 02:25:00	12.37	9.76	15.18	1.11	3
2020-10-03 02:35:00	13.46	10.91	16.2	1	3
2020-10-03 02:45:00	13.35	10.67	15.48	.8	3
2020-10-03 02:55:00	12.41	9.02	14.81	1	3
2020-10-03 03:05:00	13.61	9.56	16.08	1.11	3
2020-10-03 03:15:00	13.6	10.71	16.31	1.07	3
2020-10-03 03:25:00	14.16	11.16	16.69	1.11	3
2020-10-03 03:35:00	14.02	11.23	17.07	1.14	3
2020-10-03 03:45:00	14.95	11.33	18.6	1.35	3
2020-10-03 03:55:00	14.04	11.43	16.22	.9	3
2020-10-03 04:05:00	13.47	9.96	16.63	1.32	3
2020-10-03 04:15:00	14.58	10.83	17.62	1.33	3
2020-10-03 04:25:00	14.35	9.7	17.33	1.5	3
2020-10-03 04:35:00	13.81	8.72	17.79	1.86	3
2020-10-03 04:45:00	14.25	8.52	18.09	1.57	3
2020-10-03 04:55:00	15.14	9.83	18.48	1.53	3
2020-10-03 05:05:00	15.26	12.03	18.93	1.21	3
2020-10-03 05:15:00	15.77	13.36	18.52	1.16	3
2020-10-03 05:25:00	15.56	13.11	18.59	1.08	3
2020-10-03 05:35:00	14.14	9.35	17.26	1.42	3
2020-10-03 05:45:00	14.85	9.85	17.84	1.43	3
2020-10-03 05:55:00	12.76	8.74	16.9	1.75	3
2020-10-03 06:05:00	13.99	9.94	18.1	1.47	3
2020-10-03 06:15:00	13.02	7.36	18.35	1.9	3
2020-10-03 06:25:00	12.71	8.43	16.39	1.64	3
2020-10-03 06:35:00	13.48	8.59	18.21	1.75	3
2020-10-03 06:45:00	13.37	8.94	18.82	1.8	3
2020-10-03 06:55:00	14.57	9.72	19.39	1.95	3
2020-10-03 07:05:00	15.71	9.98	19.86	1.79	3
2020-10-03 07:15:00	16.37	12.27	19.15	1.36	3
2020-10-03 07:25:00	16.47	12.19	19.6	1.59	3
2020-10-03 07:35:00	15.13	10.41	20.04	1.84	3
2020-10-03 07:45:00	15.33	10.39	20.08	1.74	3
2020-10-03 07:55:00	15.47	10.79	19.3	1.35	3
2020-10-03 08:05:00	14.93	10.25	18.38	1.61	3
2020-10-03 08:15:00	15.69	11.61	19.15	1.39	3
2020-10-03 08:25:00	15.66	10.86	19.32	1.52	3
2020-10-03 08:35:00	15.86	10.97	19.39	1.51	3
2020-10-03 08:45:00	16.07	10.94	20.36	1.77	3
2020-10-03 08:55:00	15.4	9.69	19.53	1.92	3
2020-10-03 09:05:00	17.02	12.39	21.11	1.94	3
2020-10-03 09:15:00	15.99	11.35	19.65	1.73	3
2020-10-03 09:25:00	15.82	11.27	18.74	1.39	3
2020-10-03 09:35:00	16.11	11.26	18.83	1.36	3
2020-10-03 09:45:00	15.21	11.45	19.28	1.55	3
2020-10-03 09:55:00	14.78	10.22	19.51	2.16	3
2020-10-03 10:05:00	15.29	8.82	18.58	1.62	3
2020-10-03 10:15:00	15.28	11.26	19.26	1.55	3
2020-10-03 10:25:00	14.58	9.66	18.14	1.69	3
2020-10-03 10:35:00	14.46	9.8	19.11	1.9	3
2020-10-03 10:45:00	14.69	10.5	18.72	1.66	3
2020-10-03 10:55:00	14.31	9.61	19.63	1.68	3
2020-10-03 11:05:00	13.28	8.82	17.74	1.63	3
2020-10-03 11:15:00	13.75	9.25	18.89	1.9	3
2020-10-03 11:25:00	13.51	9.47	19.3	1.78	3
2020-10-03 11:35:00	12.73	8.39	17.36	1.85	3
2020-10-03 11:45:00	12.47	8.52	17	1.57	3
2020-10-03 11:55:00	12.91	8.06	17.04	1.77	3
2020-10-03 12:05:00	12.99	8.91	17.56	1.56	3
2020-10-03 12:15:00	13.6	8.94	18.16	1.7	3
2020-10-03 12:25:00	13.26	9.07	17.6	1.61	3
2020-10-03 12:35:00	13	8.29	17.94	1.66	3
2020-10-03 12:45:00	13.19	9.07	17.97	1.84	3
2020-10-03 12:55:00	13.55	8.35	18.22	1.64	3
2020-10-03 13:05:00	13.78	9.38	17.7	1.63	3
2020-10-03 13:15:00	15.03	10.75	19.04	1.67	3
2020-10-03 13:25:00	14.95	10.27	19.91	2.22	3
2020-10-03 13:35:00	13.91	10.11	18.27	1.42	3
2020-10-03 13:45:00	14.31	10.3	18.77	1.53	3
2020-10-03 13:55:00	14.4	10.59	18.94	1.65	3
2020-10-03 14:05:00	14.63	9.93	20.56	2.23	3
2020-10-03 14:15:00	14.19	9.39	19.19	1.71	3
2020-10-03 14:25:00	13.75	9.58	18.65	1.55	3
2020-10-03 14:35:00	13.66	9.53	17.8	1.52	3
2020-10-03 14:45:00	14.16	9.74	19.12	1.74	3
2020-10-03 14:55:00	14.17	8.77	19.05	2.02	3
2020-10-03 15:05:00	13.1	8.89	18.92	1.53	3
2020-10-03 15:15:00	13.47	9.19	18.36	1.81	3
2020-10-03 15:25:00	12.06	7.7	16.46	1.63	3
2020-10-03 15:35:00	11.98	7.85	16.25	1.59	3
2020-10-03 15:45:00	11.89	8.34	16	1.55	3
2020-10-03 15:55:00	11.45	6.28	15.86	1.86	3
2020-10-03 16:05:00	11.21	6.25	14.87	1.62	3
2020-10-03 16:15:00	12.73	9.02	16.87	1.63	3
2020-10-03 16:25:00	12.62	6.99	17.42	1.86	3
2020-10-03 16:35:00	12.03	7.4	16.61	1.77	3
2020-10-03 16:45:00	12.69	8.92	17.64	1.62	3
2020-10-03 16:55:00	11.85	6.63	19.63	1.74	3
2020-10-03 17:05:00	11.19	6.22	15.35	1.97	3
2020-10-03 17:15:00	11.12	5.43	16.28	1.88	3
2020-10-03 17:25:00	10.81	5.19	15.33	1.82	3
2020-10-03 17:35:00	11.54	6.4	16.05	1.67	3
2020-10-03 17:45:00	12.04	6.25	17.06	1.84	3
2020-10-03 17:55:00	11.42	6.83	15.52	1.62	3
2020-10-03 18:05:00	10.74	6.46	16.82	1.87	3
2020-10-03 18:15:00	12.87	8.08	17.76	1.83	3
