,PNW_BH1,WRF Centroid Actual
8/2/16 0:00,0,0
8/2/16 0:05,0,0
8/2/16 0:10,0,0
8/2/16 0:15,0,0
8/2/16 0:20,0,1
8/2/16 0:25,0,3
8/2/16 0:30,0,4
8/2/16 0:35,0,5
8/2/16 0:40,0,5
8/2/16 0:45,0,5
8/2/16 0:50,0,4
8/2/16 0:55,0,4
8/2/16 1:00,0,3
8/2/16 1:05,0,4
8/2/16 1:10,1,4
8/2/16 1:15,0,5
8/2/16 1:20,1,6
8/2/16 1:25,1,6
8/2/16 1:30,0,6
8/2/16 1:35,0,5
8/2/16 1:40,0,5
8/2/16 1:45,1,6
8/2/16 1:50,2,8
8/2/16 1:55,2,9
8/2/16 2:00,1,9
8/2/16 2:05,1,9
8/2/16 2:10,2,8
8/2/16 2:15,3,9
8/2/16 2:20,4,12
8/2/16 2:25,4,16
8/2/16 2:30,3,18
8/2/16 2:35,3,20
8/2/16 2:40,3,23
8/2/16 2:45,3,28
8/2/16 2:50,4,38
8/2/16 2:55,4,49
8/2/16 3:00,3,59
8/2/16 3:05,2,68
8/2/16 3:10,2,76
8/2/16 3:15,5,86
8/2/16 3:20,7,94
8/2/16 3:25,8,97
8/2/16 3:30,9,95
8/2/16 3:35,10,89
8/2/16 3:40,10,80
8/2/16 3:45,12,69
8/2/16 3:50,15,57
8/2/16 3:55,19,45
8/2/16 4:00,23,34
8/2/16 4:05,25,25
8/2/16 4:10,28,20
8/2/16 4:15,31,18
8/2/16 4:20,36,17
8/2/16 4:25,42,18
8/2/16 4:30,49,19
8/2/16 4:35,55,19
8/2/16 4:40,59,20
8/2/16 4:45,63,20
8/2/16 4:50,69,21
8/2/16 4:55,72,23
8/2/16 5:00,77,25
8/2/16 5:05,80,31
8/2/16 5:10,81,37
8/2/16 5:15,82,44
8/2/16 5:20,81,50
8/2/16 5:25,83,55
8/2/16 5:30,85,63
8/2/16 5:35,87,70
8/2/16 5:40,87,76
8/2/16 5:45,88,80
8/2/16 5:50,92,84
8/2/16 5:55,94,87
8/2/16 6:00,94,88
8/2/16 6:05,95,88
8/2/16 6:10,95,86
8/2/16 6:15,96,82
8/2/16 6:20,97,79
8/2/16 6:25,100,76
8/2/16 6:30,103,74
8/2/16 6:35,109,73
8/2/16 6:40,113,71
8/2/16 6:45,113,69
8/2/16 6:50,114,67
8/2/16 6:55,113,65
8/2/16 7:00,114,63
8/2/16 7:05,113,58
8/2/16 7:10,116,50
8/2/16 7:15,119,42
8/2/16 7:20,122,36
8/2/16 7:25,123,32
8/2/16 7:30,124,30
8/2/16 7:35,122,29
8/2/16 7:40,123,30
8/2/16 7:45,122,31
8/2/16 7:50,120,33
8/2/16 7:55,119,34
8/2/16 8:00,120,35
8/2/16 8:05,119,35
8/2/16 8:10,117,36
8/2/16 8:15,119,38
8/2/16 8:20,122,40
8/2/16 8:25,124,45
8/2/16 8:30,127,50
8/2/16 8:35,131,56
8/2/16 8:40,131,61
8/2/16 8:45,130,66
8/2/16 8:50,129,71
8/2/16 8:55,132,75
8/2/16 9:00,135,79
8/2/16 9:05,139,86
8/2/16 9:10,145,96
8/2/16 9:15,151,108
8/2/16 9:20,155,120
8/2/16 9:25,157,133
8/2/16 9:30,158,143
8/2/16 9:35,160,150
8/2/16 9:40,161,155
8/2/16 9:45,163,158
8/2/16 9:50,167,160
8/2/16 9:55,173,162
8/2/16 10:00,180,163
8/2/16 10:05,185,164
8/2/16 10:10,187,165
8/2/16 10:15,186,164
8/2/16 10:20,184,164
8/2/16 10:25,181,162
8/2/16 10:30,177,161
8/2/16 10:35,171,161
8/2/16 10:40,166,161
8/2/16 10:45,165,161
8/2/16 10:50,164,162
8/2/16 10:55,162,163
8/2/16 11:00,161,163
8/2/16 11:05,157,164
8/2/16 11:10,155,164
8/2/16 11:15,155,164
8/2/16 11:20,159,165
8/2/16 11:25,165,165
8/2/16 11:30,174,165
8/2/16 11:35,182,166
8/2/16 11:40,187,166
8/2/16 11:45,188,166
8/2/16 11:50,189,167
8/2/16 11:55,191,167
8/2/16 12:00,191,167
8/2/16 12:05,192,168
8/2/16 12:10,194,169
8/2/16 12:15,195,169
8/2/16 12:20,196,169
8/2/16 12:25,198,169
8/2/16 12:30,198,169
8/2/16 12:35,200,169
8/2/16 12:40,200,169
8/2/16 12:45,198,169
8/2/16 12:50,193,169
8/2/16 12:55,187,168
8/2/16 13:00,180,168
8/2/16 13:05,173,168
8/2/16 13:10,166,167
8/2/16 13:15,159,166
8/2/16 13:20,150,166
8/2/16 13:25,142,165
8/2/16 13:30,140,163
8/2/16 13:35,139,162
8/2/16 13:40,139,160
8/2/16 13:45,148,159
8/2/16 13:50,153,158
8/2/16 13:55,161,158
8/2/16 14:00,167,157
8/2/16 14:05,173,156
8/2/16 14:10,179,155
8/2/16 14:15,184,155
8/2/16 14:20,187,155
8/2/16 14:25,187,154
8/2/16 14:30,183,154
8/2/16 14:35,184,155
8/2/16 14:40,190,156
8/2/16 14:45,192,156
8/2/16 14:50,190,158
8/2/16 14:55,189,159
8/2/16 15:00,189,159
8/2/16 15:05,186,160
8/2/16 15:10,186,160
8/2/16 15:15,185,161
8/2/16 15:20,187,161
8/2/16 15:25,188,162
8/2/16 15:30,185,163
8/2/16 15:35,182,164
8/2/16 15:40,180,165
8/2/16 15:45,178,165
8/2/16 15:50,171,166
8/2/16 15:55,162,166
8/2/16 16:00,163,166
8/2/16 16:05,165,166
8/2/16 16:10,163,167
8/2/16 16:15,162,167
8/2/16 16:20,167,167
8/2/16 16:25,173,167
8/2/16 16:30,174,167
8/2/16 16:35,174,167
8/2/16 16:40,173,167
8/2/16 16:45,173,167
8/2/16 16:50,167,167
8/2/16 16:55,163,167
8/2/16 17:00,159,167
8/2/16 17:05,156,167
8/2/16 17:10,162,167
8/2/16 17:15,167,167
8/2/16 17:20,165,167
8/2/16 17:25,167,167
8/2/16 17:30,170,167
8/2/16 17:35,178,167
8/2/16 17:40,184,167
8/2/16 17:45,186,167
8/2/16 17:50,184,167
8/2/16 17:55,185,167
8/2/16 18:00,184,167
8/2/16 18:05,184,167
8/2/16 18:10,180,167
8/2/16 18:15,176,166
8/2/16 18:20,177,166
8/2/16 18:25,178,166
8/2/16 18:30,180,166
8/2/16 18:35,184,167
8/2/16 18:40,187,167
8/2/16 18:45,189,167
8/2/16 18:50,191,167
8/2/16 18:55,188,167
8/2/16 19:00,190,167
8/2/16 19:05,191,167
8/2/16 19:10,193,167
8/2/16 19:15,193,167
8/2/16 19:20,196,167
8/2/16 19:25,197,167
8/2/16 19:30,197,167
8/2/16 19:35,196,167
8/2/16 19:40,197,167
8/2/16 19:45,195,167
8/2/16 19:50,192,167
8/2/16 19:55,190,167
8/2/16 20:00,192,167
8/2/16 20:05,189,167
8/2/16 20:10,188,167
8/2/16 20:15,194,167
8/2/16 20:20,194,167
8/2/16 20:25,198,167
8/2/16 20:30,198,167
8/2/16 20:35,199,167
8/2/16 20:40,199,167
8/2/16 20:45,199,167
8/2/16 20:50,198,167
8/2/16 20:55,199,167
8/2/16 21:00,199,167
8/2/16 21:05,198,167
8/2/16 21:10,200,167
8/2/16 21:15,200,168
8/2/16 21:20,200,168
8/2/16 21:25,200,168
8/2/16 21:30,199,168
8/2/16 21:35,197,167
8/2/16 21:40,198,167
8/2/16 21:45,198,167
8/2/16 21:50,199,167
8/2/16 21:55,199,166
8/2/16 22:00,198,166
8/2/16 22:05,196,165
8/2/16 22:10,193,165
8/2/16 22:15,194,164
8/2/16 22:20,192,163
8/2/16 22:25,193,163
8/2/16 22:30,194,163
8/2/16 22:35,192,164
8/2/16 22:40,192,164
8/2/16 22:45,192,164
8/2/16 22:50,194,165
8/2/16 22:55,197,165
8/2/16 23:00,197,165
8/2/16 23:05,196,166
8/2/16 23:10,193,166
8/2/16 23:15,191,166
8/2/16 23:20,186,166
8/2/16 23:25,182,166
8/2/16 23:30,181,166
8/2/16 23:35,177,166
8/2/16 23:40,183,166
8/2/16 23:45,187,166
8/2/16 23:50,189,166
8/2/16 23:55,191,166
8/3/16 0:00,193,166
8/3/16 0:05,191,166
8/3/16 0:10,188,166
8/3/16 0:15,182,166
8/3/16 0:20,174,166
8/3/16 0:25,172,166
8/3/16 0:30,170,166
8/3/16 0:35,172,166
8/3/16 0:40,179,165
8/3/16 0:45,179,165
8/3/16 0:50,182,164
8/3/16 0:55,187,163
8/3/16 1:00,191,163
8/3/16 1:05,193,162
8/3/16 1:10,195,162
8/3/16 1:15,196,163
8/3/16 1:20,196,165
8/3/16 1:25,196,166
8/3/16 1:30,195,166
8/3/16 1:35,191,166
8/3/16 1:40,192,166
8/3/16 1:45,188,166
8/3/16 1:50,186,165
8/3/16 1:55,184,164
8/3/16 2:00,180,163
8/3/16 2:05,178,161
8/3/16 2:10,169,158
8/3/16 2:15,170,155
8/3/16 2:20,169,151
8/3/16 2:25,168,149
8/3/16 2:30,168,149
8/3/16 2:35,167,152
8/3/16 2:40,168,155
8/3/16 2:45,170,156
8/3/16 2:50,172,157
8/3/16 2:55,176,158
8/3/16 3:00,175,158
8/3/16 3:05,171,159
8/3/16 3:10,168,161
8/3/16 3:15,158,163
8/3/16 3:20,148,165
8/3/16 3:25,144,165
8/3/16 3:30,143,165
8/3/16 3:35,141,165
8/3/16 3:40,141,163
8/3/16 3:45,139,158
8/3/16 3:50,138,147
8/3/16 3:55,129,124
8/3/16 4:00,124,101
8/3/16 4:05,123,83
8/3/16 4:10,119,75
8/3/16 4:15,110,71
8/3/16 4:20,97,68
8/3/16 4:25,94,59
8/3/16 4:30,105,47
8/3/16 4:35,115,35
8/3/16 4:40,119,24
8/3/16 4:45,112,22
8/3/16 4:50,107,25
8/3/16 4:55,102,35
8/3/16 5:00,103,47
8/3/16 5:05,109,58
8/3/16 5:10,115,63
8/3/16 5:15,120,69
8/3/16 5:20,115,78
8/3/16 5:25,105,74
8/3/16 5:30,98,62
8/3/16 5:35,95,50
8/3/16 5:40,102,42
8/3/16 5:45,114,39
8/3/16 5:50,123,41
8/3/16 5:55,118,52
8/3/16 6:00,103,70
8/3/16 6:05,96,86
8/3/16 6:10,92,84
8/3/16 6:15,96,76
8/3/16 6:20,99,91
8/3/16 6:25,96,105
8/3/16 6:30,92,110
8/3/16 6:35,90,115
8/3/16 6:40,89,118
8/3/16 6:45,92,118
8/3/16 6:50,95,114
8/3/16 6:55,91,98
8/3/16 7:00,88,72
8/3/16 7:05,89,56
8/3/16 7:10,89,50
8/3/16 7:15,89,52
8/3/16 7:20,80,56
8/3/16 7:25,69,52
8/3/16 7:30,59,45
8/3/16 7:35,53,40
8/3/16 7:40,52,37
8/3/16 7:45,53,34
8/3/16 7:50,54,30
8/3/16 7:55,53,26
8/3/16 8:00,52,24
8/3/16 8:05,49,24
8/3/16 8:10,46,26
8/3/16 8:15,44,27
8/3/16 8:20,39,30
8/3/16 8:25,36,31
